no,bugis,indonesia,english,len_bugis,skor_bugis
11,"Ri wettu abdi pole Allataala iya tongengnge na tolak undangangnge , urane macoe nabalini , "" Iyya nabi towi pada-pada iko , engka séddi malaéka'na suroka palettu'i pasenna Yehuwa lao ri iko , makkedai iyaro malaéka'é , ' Palaloi iyaro tauwé lisu ri bolamu kuwammengngi weddingngi manré roti sibawa ménung . ' ""","Sewaktu abdi dari Allah yang benar menolak undangan tersebut , pria tua itu menjawab ,  Aku juga seorang nabi seperti engkau , dan seorang malaikat telah berbicara kepadaku atas firman Yehuwa , dengan mengatakan ,  Suruhlah ia kembali bersamamu ke rumahmu agar ia makan roti dan minum air .","When the man of the true God declined the invitation, the old man answered, I am also a prophet like you, and an angel spoke to me at the word of Jehovah, saying, Send him back with you to your house that he may eat bread and drink water.",53,12
12,"Napassukkurukiwi onrongnge naiyyaro makkunrai nenniya urane weddingi massempajang ri langie, naekiya engka batasang. Iyya mappikkiri'i iyaro séddi adonggong iya malempué. Narekko Ibu Megawati de'na ullei majjama, iyyae bagiang onrong sempajangnge tette'i riperhatikang lettu makkokkoe namuni sitongenna presidenta iyanaritu tauwe. Saba'na iyanaritu nasaba maelo'i engka makkunrai mancaji presiden paimeng ri Indonesia.","Akhirnya dibuat kompromi di mana perempuan dan laki-laki dapat salat di lantai 1 namun dengan adanya pembatas. Kompromi yang manis menurut saya. Hingga Ibu Megawati tidak menjabat lagi, pembagian area salat ini tetap dilestarikan hingga sekarang walaupun kenyataannya presiden kita adalah pria. Alasannya sederhana saja, antisipasi jika suatu saat Indonesia memiliki presiden perempuan lagi.","Finally a compromise was made where women and men could pray on the 1st floor but with a barrier. A sweet compromise in my opinion. Until Mrs. Megawati no longer served, this division of prayer areas was maintained until now even though the fact is that our president is a man. The reason is simple, anticipating that one day Indonesia will have a female president again.",50,11
13,"Perrangi tau-tau ero de'na berimang lao Allata'ala sibawa de' (to) engka esso rimonrie, nappa alena de' iharamkeng aga ero iharamkeng ero Allata'ala sibawa Rosul nappa de'na beragama sibawa agama ero tongeng (agamanna Allata'ala), (Iyaro tau-tau) ero mareng Al-Kitta' ri alemu, lettu' alena makkamaja' jizyah sibawa patui sibawa alena rilaleng keadaang mattunru'.","Perangilah orang-orang yang tidak beriman kepada Allah dan tidak (pula) kepada hari kemudian, dan mereka tidak mengharamkan apa yang diharamkan oleh Allah dan Rasul-Nya dan tidak beragama dengan agama yang benar (agama Allah), (yaitu orang-orang) yang diberikan Al-Kitab kepada mereka, sampai mereka membayar jizyah dengan patuh sedang mereka dalam keadaan tunduk.","Fight those who do not believe in Allah and not (nor) in the Last Day, and they do not forbid what Allah and His Messenger have forbidden and do not believe in the true religion (the religion of Allah), (i.e. the people) which the Book has given them, until they pay the jizyah obediently while they are in a state of submission.",51,11
14,"Trubus.id -- Trubus Mania, aga alian tau missengngi narekko makkedae de'na maneng plastik weddingrikebbua ualng? Ya, engka siare jenis plastik iya de'na ulle rikebbua ulang untu' siare alasan. Naekiya, Gomi, studio desain ri Brighton, Inggris, purai runtu'i ateppereng baru sibawa makkebbu speaker bluetooth portable sibawa mappake limbah plastik pole jenis iaye rianggap dek nulle ridaur ulang.","Trubus.id -- Trubus Mania, apakah alian tahu kalau tidak semua jenis plastik bisa didaur ulang? Ya, ada beberapa jenis plastik yang tidak mampu didaur ulang karena berbagai alasan. Namun, Gomi, studio desain di Brighton, Inggris, berhasil membuat terobosan dengan menciptakan speaker bluetooth portabel dengan memanfaatkan limbah plastik dari jenis yang dianggap tidak bisa didaur ulang.","Trubus.id -- Trubus Mania, did you know that not all types of plastic can be recycled? Yes, there are several types of plastic that cannot be recycled for various reasons. However, Gomi, a design studio in Brighton, England, succeeded in making a breakthrough by creating a portable Bluetooth speaker using plastic waste from a type that is considered non-recyclable.",56,11
15,Nasaba' bola yero tattale'e justru tangranna makkeda hadere'na si beccu' mattongeng-tongeng engka. Tenniyaga matu' alena tattamba dewasa? Tenniyaga emma' justru matu' muddani yero wettu-wettue? Emma' wedding mappabbiring femeng akko atitta' emma' lebbi matennang ni sibawa lolongeng genne' istiraha'. Mala wettu cinampe' untu' fatennang ati sibawa fikirangnge. Aja' yallufai untu' tuli fasidepperi alewe lao Sang Pencipta.,Karena rumah yang berantakan justru menandakan bahwa kehadiran si kecil benar-benar ada. Bukankah kelak ia akan beranjak dewasa? Bukankah moms justru akan merindukan momen-momen itu? Moms bisa membereskannya kembali ketika hati moms sudah lebih tenang dan mendapat cukup istirahat. Ambil waktu sejenak untuk menenangkan hati dan pikiran. Jangan lupa untuk selalu mendekatkan diri kepada Sang Pencipta.,Because a messy house actually indicates that your little one's presence is real. Won't he grow up someday? Won't moms actually miss those moments? Moms can sort it out again when Moms' heart is calmer and gets enough rest. Take a moment to calm your heart and mind. Don't forget to always get closer to the Creator.,55,11
16,"Manurutna, siare petasan iyae disita ero iyanaritu bahaya nennia masolang nasaba' napunnai tingkat kebisingan iyae maloppo. Makkedae ero, iyaro gau'e, nulle nassabariwi keadaangnge ri Kecamatan Polewali de'na magello. ""Puraki mabbere mappaseng lao ri pabbalu' ri Polewali de'na ulle mabbalu petasan lao ri anak-anak. Naekiya engka mupa siare tau mabbalu' iya de'e namateppe' sibawa mabalu'I"", pappasenna.","Menurutnya, puluhan petasan yang disita tersebut dinilai berbahaya dan mengganggu karena memiliki tingkat kebisingan yang besar. Hal itu, kata dia, bisa membuat kondisi di Kecamatan Polewali tidak kondusif. ""Kami telah memberikan imbauan kepada penjual di wilayah Polewali untuk tidak lagi menjual petasan kepada anak-anak. Namun masih ada beberapa oknum penjual yang bandel dan tetap menjualnya,"" ujarnya.","According to him, the dozens of confiscated firecrackers were considered dangerous and disturbing because they had a large noise level. This, he said, could make conditions in Polewali District unfavorable. ""We have given an appeal to sellers in the Polewali area to no longer sell firecrackers to children. However, there are still some sellers who are stubborn and continue to sell them,"" he said.",55,11
17,"Refi makkedai, dispensina tolling'e riwereng'i nasaba' lori'e nakennai pakkakkasa iyya parellue ri tauwwe. Narekko appallawangenna iyyae bahan-bahan ero risalang, weddingi nulle napengarui ri aktivitasna esso-essoe ri tauwwe. Refdi mappuada makkeda Korlantas sibawa Kemenhub pura makkebbu sosialisasi sisompungeng kebijakan ero. Macinnai kuwammengngi sininna tauwe nulle mateppe'i sibawa turusiwi iyaro peraturan ero.","Refi mengatakan, dispensasi masuk tol itu diberikan mengingat truk-truk itu mengangkut bahan-bahan yang sangat diperlukan masyarakat. Jika distribusi bahan-bahan tersebut terganggu, maka dapat berdampak pada aktivitas sehari-hari masyarakat. Refdi menyebutkan bahwa Korlantas bersama Kemenhub telah melakukan sosialisasi terkait kebijakan tersebut. Ia berharap semua pihak bisa memahami dan mematuhi kebijakan itu.","Refi said that dispensation to enter the toll road was given considering that the trucks were transporting materials that were really needed by the community. If the distribution of these materials is disrupted, it could have an impact on people's daily activities. Refdi said that Korlantas together with the Ministry of Transportation had carried out outreach regarding this policy. He hopes that all parties can understand and comply with the policy.",50,11
18,"Lebbipasiha engka to iyya lebbi napilei pakei iyyaro dui makkuro loppona lao jokka-jokka maccenne ri luar negri. Taufik Wibowo, sala seddi ana bua pole ri seddie perusahaang media ri Jakarta makkeda, majeppu sibawa egana dui makkuro loppona, alena wedding napake untu appassadiangeng abbottingenna matu.","Bahkan ada pula yang lebih memilih menggunakan uang sebesar itu untuk traveling dipakai untuk ke luar negeri. Taufik Wibowo, salah seorang karyawan di perusahaan media di Jakarta menuturkan, bahwa dengan jumlah uang sebanyak itu, ia bisa menggunakannya untuk persiapan pernikahan.","There are even those who prefer to use that amount of money for traveling abroad. Taufik Wibowo, an employee at a media company in Jakarta, said that with that amount of money, he could use it for wedding preparations.",44,11
19,"Maélokoga pada-pada iyaro ana'daraé , tulungngi tauwé missengngi passalenna Yehuwa sibawa aga iya weddingngé napogau' ? __ Wettunna Yésus engka ri linoé , engka séddi tau malasa oli iya mappakatau-taué mateppe' lao ri alena nainappa makkeda , ' Rekko maelo tongeng ko , mulle tulungka . '","Seperti gadis cilik itu , maukah kamu membantu seseorang belajar tentang Yehuwa dan apa yang bisa Ia lakukan ?   Ketika Yesus berada di bumi , seorang penderita kusta percaya kepadanya dan mengatakan ,  Kalau engkau benar - benar mau , engkau bisa menolongku .","Like that little girl, would you help someone learn about Jehovah and what he can do?   When Jesus was on earth , a leper believed in him and said , ' If you really want , you can help me .",47,11
20,"Nakkeda Yésus , "" Ebara'na engka séddi polé ri yelle'mu lao ri bolana sellaona ri tengnga bennié sibawa makkeda , ' Sellao , painrengika roti tellubbatu , nasaba' sahaba'ku silalona engka pole ri ajokkang sibawa de'gaga upunnai agaga wedding upanrengngi ' ?","Yesus berkata ,  Siapa di antara kamu yang mempunyai seorang sahabat dan pergi kepadanya pada tengah malam dan mengatakan kepadanya ,  Sahabat , pinjami aku tiga roti , karena seorang sahabatku baru saja datang kepadaku dari suatu perjalanan dan aku tidak mempunyai apa - apa untuk dihidangkan kepadanya  ?","Jesus said, ""Which of you has a friend and goes to him in the middle of the night and says to him, 'Friend, lend me three loaves of bread, because a friend of mine has just come to me from a journey and I have nothing to offer him'?",42,11
21,Narekko i aja yur'ja maka bettuanna pada ri lapaleng yuraddu yanaritu i palesui (yameneng urusangna) yanaritu nassabari alena ri hukung i tau iya madorakae riale-Na (yanaritu Pakarajai) bettuanna Pakarajai (na mapato Ki riale-Na) bettuanna mateppeki riale-Na nasaba sitongengna alena pa gennerengko. (Na de nengka Puang mu de namatutu pole ri aga mujamae) sitongengna napessangmi alena lettunna wettu purae eipattentu.,Jika dibaca yurja'u maka artinya sama dengan lafal yuraddu yaitu dikembalikan (urusan-urusan semuanya) oleh sebab itu Dia menghukum orang-orang yang durhaka terhadap-Nya (maka sembahlah Dia) artinya esakanlah Dia (dan bertawakallah kepada-Nya) artinya percayalah kepada-Nya karena sesungguhnya Dialah yang mencukupimu. (Dan sekali-kali Rabbmu tidak lalai dari apa yang mereka kerjakan) sesungguhnya Dia sengaja menangguhkan mereka hanya sampai pada saatnya nanti.,"If you read yurja'u, the meaning is the same as the pronunciation of yuraddu, namely to return (everything's affairs) therefore He punishes those who disobey Him (so worship Him) meaning put your trust in Him (and put your trust in Him) meaning believe in Him because indeed He is the one who is sufficient for you. (And your Rabb is not heedless of what they do) indeed He deliberately postponed them only until the time comes.",59,11
22,"Tau-tau kapere' e ri tiwi akku ranaka Jahannam sirombongan-rombongan. Jaji narekko alena lettu' akku ranaka e ro ibukkakeng ni pintu-pintunna na napauni akku pajaga-pajagana ""De' pa ga nengka poleiki rasul-rasul ri antara ta iya bacai akku idi' aya'-aya' Puangta na naparingngerrangki sibawa siruntu' ta esso e he?""","Orang-orang kafir dibawa ke neraka Jahannam berombong-rombongan. Sehingga apabila mereka sampai ke neraka itu dibukakanlah pintu-pintunya dan berkatalah kepada mereka penjaga-penjaganya ""Apakah belum pernah datang kepadamu rasul-rasul di antaramu yang membacakan kepadamu ayat-ayat Tuhanmu dan memperingatkan kepadamu akan pertemuan dengan hari ini?""","The disbelievers are taken to the hell of Jahannam in groups. So that when they reach hell the doors will be opened and the guards will say to them ""Have messengers not come to you among you who read to you the verses of your Lord and warned you of meeting this day?""",47,11
23,"""Engka seddi video iyya purae mallebbang makkedae ri seddi sikola ri Bengkalis, ana' sikola Kristeng'e de'na wedding magguru ri laleng kelas. pada alena waji magguru ri saliweng kelas ri seddena sikolae nasibawai tikka. Purana narapiki lebbi mabela, pihakna sikolae mappuadai majeppu de'na gaga diskriminasi lao ri ana' gurunna.""","Telah beredar kembali sebuah video yang diklaim bahwa salah satu sekolah di Bengkalis, para siswa Nasrani tidak diperbolehkan belajar di dalam kelas. mereka terpaksa belajar diluar kelas di halaman sekolah dengan beralaskan tikar. Setelah ditelusuri lebih lanjut faktanya Pihak sekolah membantah adanya diskriminasi proses belajar-mengajar terhadap siswanya.","A video has been circulating again claiming that at one of the schools in Bengkalis, Christian students are not allowed to study in class. they are forced to study outside the classroom in the school yard on mats. After further investigation, the school denied that there was discrimination in the teaching and learning process against its students.",48,11
24,"Pompeo ri laleng jokka lima essoe ri Eropa wettunna assisompungeng amegangeng sibawa addangkangeng lintas Atlantik, makkeda majeppu namuni tungke' negara wedding napake 'keputusan berdaulat' ri tujunna pakkakkasa iyya ripakkegunae, iyaro appattujungnge punnai wassele. ""Iyyaro resiko'e makkewassele akkaleng baru nasaba' de'na ullei nawereng data iyya engkae ri tujunna pabbanua iyyare'ga amangenna nasional'e lao ri jaringang iyya de'na ullei riyatepperi, "" mappattentu'i.","Pompeo dalam lawatan lima harinya ke Eropa saat semakin tegangnya hubungan keamanan dan dagang lintas Atlantik, mengatakan bahwa meski setiap negara dapat mengambil 'keputusan berdaulat' mengenai alat yang digunakan, keputusan tersebut mengandung konsekuensi. ""Ada resiko kami harus mengubah sikap karena bahwa kami tidak bisa membolehkan data terhadap warga negara atau keamanan nasional untuk melewati jaringan yang tidak kami percayai,"" tegasnya.","Pompeo, on a five-day visit to Europe as transatlantic security and trade relations increasingly strain, said that while each country could make 'sovereign decisions' about the tools used, those decisions had consequences. ""There is a risk that we will have to change our stance because we cannot allow data on citizens or national security to pass through networks we do not trust,"" he stressed.",60,11
25,"""Iyyaro struktur'e pura naullei tau sarjana'e modern'e untu napanessai mappahangi appahangenna alena ri bahasa Sumeria, ri wettu iyaro merupakan bahasa iya'e tuo, nasaba lettu aruntukenna corpus tablet de'na engka kamus bilingual sibawa bahasa Sumeria nennia bahasa-bahasa lainge, nassabari werekkadae nennia aspek-aspek laingna fonetik bahasa'e ero mancaji de'na manenssa.""","""Struktur ini telah memungkinkan para sarjana modern untuk memperjelas pemahaman mereka tentang bahasa Sumeria, pada waktu itu masih merupakan bahasa yang hidup, karena sampai penemuan corpus tablet tidak ada kamus bilingual dengan Sumeria dan bahasa-bahasa lain, menyebabkan pengucapan dan aspek-aspek lain fonetik bahasa itu menjadi tidak jelas.""","""This structure has allowed modern scholars to clarify their understanding of Sumerian, at that time still a living language, because until the discovery of the tablet corpus there were no bilingual dictionaries with Sumerian and other languages, leaving the pronunciation and other aspects of the phonetics of the language unclear.""",48,11
26,"(Padahala' tau-tau ero matta'wa) ero majjaga ale pole assirikeng, alena ero (engka ri yase' tau-tau kapere' polr esso kiama'. Nappa Allata'ala mareng dalle' lao niga ero pojiang de' ga bataseng), bettuanna dalle' ero maraja ri ahera' ato ri lino, misala' ipunnai-Na warang parang sibawa buda' pole poha' ero maccobi-cobi' lao piha' ero maccobi-cobi.","(Padahal orang-orang yang bertakwa) yang menjaga diri dari kesyirikan, mereka itu (berada di atas orang-orang kafir pada hari kiamat. Dan Allah memberi rezeki kepada siapa yang disukainya tanpa batas), artinya rezeki yang luas di akhirat atau di dunia, misalnya dimiliki-Nya harta benda dan budak dari pihak yang mengejek kepada pihak yang diejek.","(Whereas those who are pious) who guard themselves from shirk, they (are above the disbelievers on the Day of Resurrection. And Allah gives sustenance to whom He pleases without limit), meaning extensive sustenance in the afterlife or in the world, for example He owns the property and slaves of those who mock to those who are mocked.",53,11
27,"Sining tau iya mitaengngi kajajiyangngero makkeda ""Poleni iyaro tauwe sibawa piso ri limanna, nainappa naunru anak-anak'e ero sibawa makkeda, ""Maeloka mpuno iko manengngi! "". Matsumoto, pabbanuwa seddie ondroang, massui pole bolana narekko naengkalingai addarengenna anak-anak makkunrai'e. Teri iya dé'é nawedding nallupai lettu mannennungeng.","Saksi mata mengatakan, pelaku datang membawa pisau di kedua tangannya lalu menikam anak-anak malang itu sambil berteriak ""Aku bunuh kalian! "". Matsumoto, warga sekitar, keluar dari rumahnya setelah mendengar suara teriakan anak-anak perempuan. Teriakan yang tidak akan dilupakannya seumur hidup.","Eyewitnesses said the perpetrator came with knives in both hands and stabbed the poor children while shouting ""I'll kill you!"". Matsumoto, a local resident, came out of his house after hearing the sound of girls screaming. A scream he would never forget for the rest of his life.",43,11
28,"Tapi'na wettu no' sura' ero iperentang perrang, alemu engka makkita tau ero ri laleng atinna wedding sipa' munapi' mappandangmu mappada pandangeng tau pingsang nasaba' benci ero mitau' mate. Nappa pole ero, taa' lao Allata'ala sibawa makkada aga ero itongengeng agamang ero lebbi makanja' pole alena narekko iwajikeng lao alena majjiha'.","Tetapi, ketika turun surat yang memerintahkan perang, kamu akan melihat orang yang di dalam hatinya terdapat sifat munafik memandangmu seperti pandangan orang pingsan karena benci dan takut mati. Dari itu, taat kepada Allah dan mengatakan apa yang dibenarkan agama adalah lebih baik bagi mereka jika diwajibkan kepada mereka berjihad.","However, when a letter comes down ordering war, you will see people who have hypocrisy in their hearts looking at you like the gaze of a person fainting from hatred and fear of death. Therefore, obeying Allah and saying what is justified by religion is better for them if jihad is required for them.",50,11
29,"Mauni malemma lima menit, duwa jam, iyyare'ga lebbi, seddi gau' mattentui, alenami matu engka. Jaji, aga harusu mupogau narekko engka'ko ri Brasil, narimakkuannaro tau'e wedding nacobai lettu ri wettu'e? Yae ro, na catatang i ri undangan e ro naruntu i rekko addeppuungeng e ro ri wettu e sesuai sibawa wettu e ri tanrai sibawa frasa ""Wettu Inggris"" iyaregga ""Hora inglesa.","Entah itu terlambat lima menit, dua jam, atau lebih dari itu, yang pasti, ia akan muncul. Lalu, apa yang seharusnya kamu lakukan saat berada di Brasil, agar orang-orang bisa mengusahakan datang tepat waktu? Yaitu, dengan memberi catatan pada undangan bahwa pertemuan akan dilakukan tepat waktu sesuai dengan jam yang ditentukan lewat frasa ""English time"" atau ""Hora inglesa.","Whether it's five minutes late, two hours, or more than that, one thing is certain, he will show up. So, what should you do when you are in Brazil, so that people can try to arrive on time? Namely, by noting on the invitation that the meeting will be held on time according to the time specified through the phrase ""English time"" or ""Hora inglesa.",60,11
